#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# EvPSNet: Evidential Panoptic Segmentation Network for Uncertainy-aware Panoptic Segmentation  EvPSNet is the first approach to tackle the task of uncertainty-aware panoptic segmentation, with an aim to provide per-pixel semantic and instance label together with per-pixel panoptic uncertainty estimation.  !
1-1	0-1	#	*[523]|*[780]	SOFTWARE[523]|SOFTWARE[780]
1-2	2-9	EvPSNet	*[780]	SOFTWARE[780]
1-3	9-10	:	*[780]	SOFTWARE[780]
1-4	11-21	Evidential	*[780]	SOFTWARE[780]
1-5	22-30	Panoptic	*[780]	SOFTWARE[780]
1-6	31-43	Segmentation	*[780]	SOFTWARE[780]
1-7	44-51	Network	*[780]	SOFTWARE[780]
1-8	52-55	for	*[780]	SOFTWARE[780]
1-9	56-72	Uncertainy-aware	*[780]	SOFTWARE[780]
1-10	73-81	Panoptic	*[780]	SOFTWARE[780]
1-11	82-94	Segmentation	*[780]	SOFTWARE[780]
1-12	96-103	EvPSNet	*[780]	SOFTWARE[780]
1-13	104-106	is	*[780]	SOFTWARE[780]
1-14	107-110	the	*[780]	SOFTWARE[780]
1-15	111-116	first	*[780]	SOFTWARE[780]
1-16	117-125	approach	*[780]	SOFTWARE[780]
1-17	126-128	to	*[780]	SOFTWARE[780]
1-18	129-135	tackle	*[780]	SOFTWARE[780]
1-19	136-139	the	*[780]	SOFTWARE[780]
1-20	140-144	task	*[780]	SOFTWARE[780]
1-21	145-147	of	*[780]	SOFTWARE[780]
1-22	148-165	uncertainty-aware	*[780]	SOFTWARE[780]
1-23	166-174	panoptic	*[780]	SOFTWARE[780]
1-24	175-187	segmentation	*[780]	SOFTWARE[780]
1-25	187-188	,	*[780]	SOFTWARE[780]
1-26	189-193	with	*[780]	SOFTWARE[780]
1-27	194-196	an	*[780]	SOFTWARE[780]
1-28	197-200	aim	*[780]	SOFTWARE[780]
1-29	201-203	to	*[780]	SOFTWARE[780]
1-30	204-211	provide	*[780]	SOFTWARE[780]
1-31	212-221	per-pixel	*[780]	SOFTWARE[780]
1-32	222-230	semantic	*[780]	SOFTWARE[780]
1-33	231-234	and	*[780]	SOFTWARE[780]
1-34	235-243	instance	*[780]	SOFTWARE[780]
1-35	244-249	label	*[780]	SOFTWARE[780]
1-36	250-258	together	*[780]	SOFTWARE[780]
1-37	259-263	with	*[780]	SOFTWARE[780]
1-38	264-273	per-pixel	*[780]	SOFTWARE[780]
1-39	274-282	panoptic	*[780]	SOFTWARE[780]
1-40	283-294	uncertainty	*[780]	SOFTWARE[780]
1-41	295-305	estimation	*[780]	SOFTWARE[780]
1-42	305-306	.	*[780]	SOFTWARE[780]
1-43	308-309	!	*[780]	SOFTWARE[780]

#Text=\[Illustration of EvPSNet\](.
2-1	309-310	\[	*[780]	SOFTWARE[780]
2-2	310-322	Illustration	*[780]	SOFTWARE[780]
2-3	323-325	of	*[780]	SOFTWARE[780]
2-4	326-333	EvPSNet	*[780]	SOFTWARE[780]
2-5	333-334	\]	*[780]	SOFTWARE[780]
2-6	334-335	(	*[780]	SOFTWARE[780]
2-7	335-336	.	*[780]	SOFTWARE[780]

#Text=/images/intro.png)  This repository contains the \*\*PyTorch implementation\*\* of our RAL'2023 paper \[Uncertainty-aware Panoptic Segmentation\](https://arxiv.org/abs/2206.14554).
3-1	336-337	/	*[780]	SOFTWARE[780]
3-2	337-343	images	*[780]	SOFTWARE[780]
3-3	343-344	/	*[780]	SOFTWARE[780]
3-4	344-353	intro.png	*[780]	SOFTWARE[780]
3-5	353-354	)	*[780]	SOFTWARE[780]
3-6	356-360	This	*[780]	SOFTWARE[780]
3-7	361-371	repository	*[780]	SOFTWARE[780]
3-8	372-380	contains	*[780]	SOFTWARE[780]
3-9	381-384	the	*[780]	SOFTWARE[780]
3-10	385-386	\*	*[780]	SOFTWARE[780]
3-11	386-387	\*	*[780]	SOFTWARE[780]
3-12	387-394	PyTorch	*[780]	SOFTWARE[780]
3-13	395-409	implementation	*[780]	SOFTWARE[780]
3-14	409-410	\*	*[780]	SOFTWARE[780]
3-15	410-411	\*	*[780]	SOFTWARE[780]
3-16	412-414	of	*[780]	SOFTWARE[780]
3-17	415-418	our	*[780]	SOFTWARE[780]
3-18	419-422	RAL	*[780]	SOFTWARE[780]
3-19	422-423	'	*[780]	SOFTWARE[780]
3-20	423-427	2023	*[780]	SOFTWARE[780]
3-21	428-433	paper	*[780]	SOFTWARE[780]
