#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<h1 align="center">Jury</h1>  <p align="center"> <a href="https://pypi.org/project/jury"><img src="https://img.shields.io/pypi/pyversions/jury" alt="Python versions"></a> <a href="https://pepy.tech/project/jury"><img src="https://pepy.tech/badge/jury" alt="downloads"></a> <a href="https://pypi.org/project/jury"><img src="https://img.shields.io/pypi/v/jury?
1-1	0-1	<	*[523]|*[775]	SOFTWARE[523]|SOFTWARE[775]
1-2	1-3	h1	*[775]	SOFTWARE[775]
1-3	4-9	align	*[775]	SOFTWARE[775]
1-4	9-10	=	*[775]	SOFTWARE[775]
1-5	10-11	"	*[775]	SOFTWARE[775]
1-6	11-17	center	*[775]	SOFTWARE[775]
1-7	17-18	"	*[775]	SOFTWARE[775]
1-8	18-19	>	*[775]	SOFTWARE[775]
1-9	19-23	Jury	*[775]	SOFTWARE[775]
1-10	23-24	<	*[775]	SOFTWARE[775]
1-11	24-25	/	*[775]	SOFTWARE[775]
1-12	25-27	h1	*[775]	SOFTWARE[775]
1-13	27-28	>	*[775]	SOFTWARE[775]
1-14	30-31	<	*[775]	SOFTWARE[775]
1-15	31-32	p	*[775]	SOFTWARE[775]
1-16	33-38	align	*[775]	SOFTWARE[775]
1-17	38-39	=	*[775]	SOFTWARE[775]
1-18	39-40	"	*[775]	SOFTWARE[775]
1-19	40-46	center	*[775]	SOFTWARE[775]
1-20	46-47	"	*[775]	SOFTWARE[775]
1-21	47-48	>	*[775]	SOFTWARE[775]
1-22	49-50	<	*[775]	SOFTWARE[775]
1-23	50-51	a	*[775]	SOFTWARE[775]
1-24	52-56	href	*[775]	SOFTWARE[775]
1-25	56-57	=	*[775]	SOFTWARE[775]
1-26	57-58	"	*[775]	SOFTWARE[775]
1-27	58-63	https	*[775]	SOFTWARE[775]
1-28	63-64	:	*[775]	SOFTWARE[775]
1-29	64-65	/	*[775]	SOFTWARE[775]
1-30	65-66	/	*[775]	SOFTWARE[775]
1-31	66-74	pypi.org	*[775]	SOFTWARE[775]
1-31	66-70	pypi	*[775]	SOFTWARE[775]
1-32	74-75	/	*[775]	SOFTWARE[775]
1-33	75-82	project	*[775]	SOFTWARE[775]
1-34	82-83	/	*[775]	SOFTWARE[775]
