#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text= 
0-0	0-1	 	*[523]|*[786]	SOFTWARE[523]|SOFTWARE[786]

#Text=# ImGAGN: Imbalanced Networks Embedding via Generative Adversarial Graph Networks  This is our Pytorch implementation for the \[paper\](https://arxiv.org/abs/2106.02817):  > Liang Qu, Huaisheng Zhu, Ruiqi Zheng, Yuhui Shi, and Hongzhi Yin. 2021.
1-1	1-2	#	*[786]	SOFTWARE[786]
1-2	3-9	ImGAGN	*[786]	SOFTWARE[786]
1-3	9-10	:	*[786]	SOFTWARE[786]
1-4	11-21	Imbalanced	*[786]	SOFTWARE[786]
1-5	22-30	Networks	*[786]	SOFTWARE[786]
1-6	31-40	Embedding	*[786]	SOFTWARE[786]
1-7	41-44	via	*[786]	SOFTWARE[786]
1-8	45-55	Generative	*[786]	SOFTWARE[786]
1-9	56-67	Adversarial	*[786]	SOFTWARE[786]
1-10	68-73	Graph	*[786]	SOFTWARE[786]
1-11	74-82	Networks	*[786]	SOFTWARE[786]
1-12	84-88	This	*[786]	SOFTWARE[786]
1-13	89-91	is	*[786]	SOFTWARE[786]
1-14	92-95	our	*[786]	SOFTWARE[786]
1-15	96-103	Pytorch	*[786]	SOFTWARE[786]
1-16	104-118	implementation	*[786]	SOFTWARE[786]
1-17	119-122	for	*[786]	SOFTWARE[786]
1-18	123-126	the	*[786]	SOFTWARE[786]
1-19	127-128	\[	*[786]	SOFTWARE[786]
1-20	128-133	paper	*[786]	SOFTWARE[786]
1-21	133-134	\]	*[786]	SOFTWARE[786]
1-22	134-135	(	*[786]	SOFTWARE[786]
1-23	135-140	https	*[786]	SOFTWARE[786]
1-24	140-141	:	*[786]	SOFTWARE[786]
1-25	141-142	/	*[786]	SOFTWARE[786]
1-26	142-143	/	*[786]	SOFTWARE[786]
1-27	143-152	arxiv.org	*[786]	SOFTWARE[786]
1-28	152-153	/	*[786]	SOFTWARE[786]
1-29	153-156	abs	*[786]	SOFTWARE[786]
1-30	156-157	/	*[786]	SOFTWARE[786]
1-31	157-167	2106.02817	*[786]	SOFTWARE[786]
1-32	167-168	)	*[786]	SOFTWARE[786]
1-33	168-169	:	*[786]	SOFTWARE[786]
1-34	171-172	>	*[786]	SOFTWARE[786]
1-35	173-178	Liang	*[786]	SOFTWARE[786]
1-36	179-181	Qu	*[786]	SOFTWARE[786]
1-37	181-182	,	*[786]	SOFTWARE[786]
1-38	183-192	Huaisheng	*[786]	SOFTWARE[786]
1-39	193-196	Zhu	*[786]	SOFTWARE[786]
1-40	196-197	,	*[786]	SOFTWARE[786]
1-41	198-203	Ruiqi	*[786]	SOFTWARE[786]
1-42	204-209	Zheng	*[786]	SOFTWARE[786]
1-43	209-210	,	*[786]	SOFTWARE[786]
1-44	211-216	Yuhui	*[786]	SOFTWARE[786]
1-45	217-220	Shi	*[786]	SOFTWARE[786]
1-46	220-221	,	*[786]	SOFTWARE[786]
1-47	222-225	and	*[786]	SOFTWARE[786]
1-48	226-233	Hongzhi	*[786]	SOFTWARE[786]
1-49	234-237	Yin	*[786]	SOFTWARE[786]
1-50	237-238	.	*[786]	SOFTWARE[786]
1-51	239-243	2021	*[786]	SOFTWARE[786]
1-52	243-244	.	*[786]	SOFTWARE[786]

#Text=ImGAGN:Imbalanced Network Embedding via Generative Adversarial Graph Networks.
2-1	245-251	ImGAGN	*[786]	SOFTWARE[786]
2-2	251-252	:	*[786]	SOFTWARE[786]
2-3	252-262	Imbalanced	*[786]	SOFTWARE[786]
2-4	263-270	Network	*[786]	SOFTWARE[786]
2-5	271-280	Embedding	*[786]	SOFTWARE[786]
2-6	281-284	via	*[786]	SOFTWARE[786]
2-7	285-295	Generative	*[786]	SOFTWARE[786]
2-8	296-307	Adversarial	*[786]	SOFTWARE[786]
2-9	308-313	Graph	*[786]	SOFTWARE[786]
2-10	314-322	Networks	*[786]	SOFTWARE[786]
2-11	322-323	.	*[786]	SOFTWARE[786]

#Text=In Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD ’21), August 14–18, 2021, Virtual Event, Singapore.
3-1	324-326	In	*[786]	SOFTWARE[786]
3-2	327-338	Proceedings	*[786]	SOFTWARE[786]
3-3	339-341	of	*[786]	SOFTWARE[786]
3-4	342-345	the	*[786]	SOFTWARE[786]
3-5	346-350	27th	*[786]	SOFTWARE[786]
3-6	351-354	ACM	*[786]	SOFTWARE[786]
3-7	355-361	SIGKDD	*[786]	SOFTWARE[786]
3-8	362-372	Conference	*[786]	SOFTWARE[786]
