#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=# DC-ShadowNet (ICCV'2021)  ## Introduction > \[DC-ShadowNet: Single-Image Hard and Soft Shadow Removal Using Unsupervised Domain-Classifier Guided Network\](https://arxiv.org/abs/2207.10434)<br> >  International Conference on Computer Vision (ICCV'2021)  \[Yeying Jin\](https://jinyeying.github.io/), \[Aashish Sharma\](https://aasharma90.github.io/) and \[Robby T.
1-1	0-1	#	*[523]|*[787]	SOFTWARE[523]|SOFTWARE[787]
1-2	2-14	DC-ShadowNet	*[787]	SOFTWARE[787]
1-3	15-16	(	*[787]	SOFTWARE[787]
1-4	16-20	ICCV	*[787]	SOFTWARE[787]
1-5	20-21	'	*[787]	SOFTWARE[787]
1-6	21-25	2021	*[787]	SOFTWARE[787]
1-7	25-26	)	*[787]	SOFTWARE[787]
1-8	28-29	#	*[787]	SOFTWARE[787]
1-9	29-30	#	*[787]	SOFTWARE[787]
1-10	31-43	Introduction	*[787]	SOFTWARE[787]
1-11	44-45	>	*[787]	SOFTWARE[787]
1-12	46-47	\[	*[787]	SOFTWARE[787]
1-13	47-59	DC-ShadowNet	*[787]	SOFTWARE[787]
1-14	59-60	:	*[787]	SOFTWARE[787]
1-15	61-73	Single-Image	*[787]	SOFTWARE[787]
1-16	74-78	Hard	*[787]	SOFTWARE[787]
1-17	79-82	and	*[787]	SOFTWARE[787]
1-18	83-87	Soft	*[787]	SOFTWARE[787]
1-19	88-94	Shadow	*[787]	SOFTWARE[787]
1-20	95-102	Removal	*[787]	SOFTWARE[787]
1-21	103-108	Using	*[787]	SOFTWARE[787]
1-22	109-121	Unsupervised	*[787]	SOFTWARE[787]
1-23	122-139	Domain-Classifier	*[787]	SOFTWARE[787]
1-24	140-146	Guided	*[787]	SOFTWARE[787]
1-25	147-154	Network	*[787]	SOFTWARE[787]
1-26	154-155	\]	*[787]	SOFTWARE[787]
1-27	155-156	(	*[787]	SOFTWARE[787]
1-28	156-161	https	*[787]	SOFTWARE[787]
1-29	161-162	:	*[787]	SOFTWARE[787]
1-30	162-163	/	*[787]	SOFTWARE[787]
1-31	163-164	/	*[787]	SOFTWARE[787]
1-32	164-173	arxiv.org	*[787]	SOFTWARE[787]
1-33	173-174	/	*[787]	SOFTWARE[787]
1-34	174-177	abs	*[787]	SOFTWARE[787]
1-35	177-178	/	*[787]	SOFTWARE[787]
1-36	178-188	2207.10434	*[787]	SOFTWARE[787]
1-37	188-189	)	*[787]	SOFTWARE[787]
1-38	189-190	<	*[787]	SOFTWARE[787]
1-39	190-192	br	*[787]	SOFTWARE[787]
1-40	192-193	>	*[787]	SOFTWARE[787]
1-41	194-195	>	*[787]	SOFTWARE[787]
1-42	197-210	International	*[787]	SOFTWARE[787]
1-43	211-221	Conference	*[787]	SOFTWARE[787]
1-44	222-224	on	*[787]	SOFTWARE[787]
1-45	225-233	Computer	*[787]	SOFTWARE[787]
1-46	234-240	Vision	*[787]	SOFTWARE[787]
1-47	241-242	(	*[787]	SOFTWARE[787]
1-48	242-246	ICCV	*[787]	SOFTWARE[787]
1-49	246-247	'	*[787]	SOFTWARE[787]
1-50	247-251	2021	*[787]	SOFTWARE[787]
1-51	251-252	)	*[787]	SOFTWARE[787]
1-52	254-255	\[	*[787]	SOFTWARE[787]
1-53	255-261	Yeying	*[787]	SOFTWARE[787]
1-54	262-265	Jin	*[787]	SOFTWARE[787]
1-55	265-266	\]	*[787]	SOFTWARE[787]
1-56	266-267	(	*[787]	SOFTWARE[787]
1-57	267-272	https	*[787]	SOFTWARE[787]
1-58	272-273	:	*[787]	SOFTWARE[787]
1-59	273-274	/	*[787]	SOFTWARE[787]
1-60	274-275	/	*[787]	SOFTWARE[787]
1-61	275-294	jinyeying.github.io	*[787]	SOFTWARE[787]
1-62	294-295	/	*[787]	SOFTWARE[787]
1-63	295-296	)	*[787]	SOFTWARE[787]
1-64	296-297	,	*[787]	SOFTWARE[787]
1-65	298-299	\[	*[787]	SOFTWARE[787]
1-66	299-306	Aashish	*[787]	SOFTWARE[787]
1-67	307-313	Sharma	*[787]	SOFTWARE[787]
1-68	313-314	\]	*[787]	SOFTWARE[787]
1-69	314-315	(	*[787]	SOFTWARE[787]
1-70	315-320	https	*[787]	SOFTWARE[787]
1-71	320-321	:	*[787]	SOFTWARE[787]
1-72	321-322	/	*[787]	SOFTWARE[787]
1-73	322-323	/	*[787]	SOFTWARE[787]
1-74	323-333	aasharma90	*[787]	SOFTWARE[787]
1-75	333-334	.	*[787]	SOFTWARE[787]
1-76	334-343	github.io	*[787]	SOFTWARE[787]
1-77	343-344	/	*[787]	SOFTWARE[787]
1-78	344-345	)	*[787]	SOFTWARE[787]
1-79	346-349	and	*[787]	SOFTWARE[787]
1-80	350-351	\[	*[787]	SOFTWARE[787]
1-81	351-356	Robby	*[787]	SOFTWARE[787]
1-82	357-358	T	*[787]	SOFTWARE[787]
1-83	358-359	.	*[787]	SOFTWARE[787]

#Text=Tan\](https://tanrobby.github.io/pub.html)  \[!
2-1	360-363	Tan	*[787]	SOFTWARE[787]
2-2	363-364	\]	*[787]	SOFTWARE[787]
2-3	364-365	(	*[787]	SOFTWARE[787]
2-4	365-370	https	*[787]	SOFTWARE[787]
2-5	370-371	:	*[787]	SOFTWARE[787]
2-6	371-372	/	*[787]	SOFTWARE[787]
2-7	372-373	/	*[787]	SOFTWARE[787]
2-8	373-391	tanrobby.github.io	*[787]	SOFTWARE[787]
2-9	391-392	/	*[787]	SOFTWARE[787]
2-10	392-400	pub.html	*[787]	SOFTWARE[787]
2-11	400-401	)	*[787]	SOFTWARE[787]
2-12	403-404	\[	*[787]	SOFTWARE[787]
2-13	404-405	!	*[787]	SOFTWARE[787]

