#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<img src="docs/img/icon.png" width=125 height=125 align="right">  \[!
1-1	0-1	<	*[523]|*[776]	SOFTWARE[523]|SOFTWARE[776]
1-2	1-4	img	*[776]	SOFTWARE[776]
1-3	5-8	src	*[776]	SOFTWARE[776]
1-4	8-9	=	*[776]	SOFTWARE[776]
1-5	9-10	"	*[776]	SOFTWARE[776]
1-6	10-14	docs	*[776]	SOFTWARE[776]
1-7	14-15	/	*[776]	SOFTWARE[776]
1-8	15-18	img	*[776]	SOFTWARE[776]
1-9	18-19	/	*[776]	SOFTWARE[776]
1-10	19-27	icon.png	*[776]	SOFTWARE[776]
1-11	27-28	"	*[776]	SOFTWARE[776]
1-12	29-34	width	*[776]	SOFTWARE[776]
1-13	34-35	=	*[776]	SOFTWARE[776]
1-14	35-38	125	*[776]	SOFTWARE[776]
1-15	39-45	height	*[776]	SOFTWARE[776]
1-16	45-46	=	*[776]	SOFTWARE[776]
1-17	46-49	125	*[776]	SOFTWARE[776]
1-18	50-55	align	*[776]	SOFTWARE[776]
1-19	55-56	=	*[776]	SOFTWARE[776]
1-20	56-57	"	*[776]	SOFTWARE[776]
1-21	57-62	right	*[776]	SOFTWARE[776]
1-22	62-63	"	*[776]	SOFTWARE[776]
1-23	63-64	>	*[776]	SOFTWARE[776]
1-24	66-67	\[	*[776]	SOFTWARE[776]
1-25	67-68	!	*[776]	SOFTWARE[776]

#Text=\[License: MIT\](https://img.shields.io/badge/License-MIT-yellow.svg)\](https://opensource.org/licenses/MIT) \[!
2-1	68-69	\[	*[776]	SOFTWARE[776]
2-2	69-76	License	*[776]	SOFTWARE[776]
2-3	76-77	:	*[776]	SOFTWARE[776]
2-4	78-81	MIT	*[776]	SOFTWARE[776]
2-5	81-82	\]	*[776]	SOFTWARE[776]
2-6	82-83	(	*[776]	SOFTWARE[776]
2-7	83-88	https	*[776]	SOFTWARE[776]
2-8	88-89	:	*[776]	SOFTWARE[776]
2-9	89-90	/	*[776]	SOFTWARE[776]
2-10	90-91	/	*[776]	SOFTWARE[776]
2-11	91-105	img.shields.io	*[776]	SOFTWARE[776]
2-12	105-106	/	*[776]	SOFTWARE[776]
2-13	106-111	badge	*[776]	SOFTWARE[776]
2-14	111-112	/	*[776]	SOFTWARE[776]
2-15	112-134	License-MIT-yellow.svg	*[776]	SOFTWARE[776]
2-15	120-123	MIT	*[776]	SOFTWARE[776]
2-16	134-135	)	*[776]	SOFTWARE[776]
2-17	135-136	\]	*[776]	SOFTWARE[776]
2-18	136-137	(	*[776]	SOFTWARE[776]
2-19	137-142	https	*[776]	SOFTWARE[776]
2-20	142-143	:	*[776]	SOFTWARE[776]
2-21	143-144	/	*[776]	SOFTWARE[776]
2-22	144-145	/	*[776]	SOFTWARE[776]
2-23	145-159	opensource.org	*[776]	SOFTWARE[776]
2-24	159-160	/	*[776]	SOFTWARE[776]
2-25	160-168	licenses	*[776]	SOFTWARE[776]
2-26	168-169	/	*[776]	SOFTWARE[776]
2-27	169-172	MIT	*[776]	SOFTWARE[776]
2-28	172-173	)	*[776]	SOFTWARE[776]
2-29	174-175	\[	*[776]	SOFTWARE[776]
2-30	175-176	!	*[776]	SOFTWARE[776]

#Text=\[Python: 3.8+\](https://img.shields.io/badge/Python-3.8+-blue.svg)\](https://www.python.org/downloads/) \[!
3-1	176-177	\[	*[776]	SOFTWARE[776]
3-2	177-183	Python	*[776]	SOFTWARE[776]
3-3	183-184	:	*[776]	SOFTWARE[776]
3-4	185-188	3.8	*[776]	SOFTWARE[776]
3-5	188-189	+	*[776]	SOFTWARE[776]
3-6	189-190	\]	*[776]	SOFTWARE[776]
3-7	190-191	(	*[776]	SOFTWARE[776]
3-8	191-196	https	*[776]	SOFTWARE[776]
3-9	196-197	:	*[776]	SOFTWARE[776]
3-10	197-198	/	*[776]	SOFTWARE[776]
3-11	198-199	/	*[776]	SOFTWARE[776]
3-12	199-213	img.shields.io	*[776]	SOFTWARE[776]
3-13	213-214	/	*[776]	SOFTWARE[776]
3-14	214-219	badge	*[776]	SOFTWARE[776]
3-15	219-220	/	*[776]	SOFTWARE[776]
3-16	220-226	Python	*[776]	SOFTWARE[776]
3-17	226-227	-	*[776]	SOFTWARE[776]
3-18	227-230	3.8	*[776]	SOFTWARE[776]
3-19	230-231	+	*[776]	SOFTWARE[776]
3-20	231-232	-	*[776]	SOFTWARE[776]
3-21	232-240	blue.svg	*[776]	SOFTWARE[776]
3-22	240-241	)	*[776]	SOFTWARE[776]
3-23	241-242	\]	*[776]	SOFTWARE[776]
3-24	242-243	(	*[776]	SOFTWARE[776]
3-25	243-248	https	*[776]	SOFTWARE[776]
3-26	248-249	:	*[776]	SOFTWARE[776]
3-27	249-250	/	*[776]	SOFTWARE[776]
3-28	250-251	/	*[776]	SOFTWARE[776]
3-29	251-265	www.python.org	*[776]	SOFTWARE[776]
3-29	255-261	python	*[776]	SOFTWARE[776]
3-30	265-266	/	*[776]	SOFTWARE[776]
3-31	266-275	downloads	*[776]	SOFTWARE[776]
3-32	275-276	/	*[776]	SOFTWARE[776]
3-33	276-277	)	*[776]	SOFTWARE[776]
3-34	278-279	\[	*[776]	SOFTWARE[776]
3-35	279-280	!	*[776]	SOFTWARE[776]

#Text=\[arXiv\](https://img.shields.io/badge/arXiv-2108.11792-b31b1b.svg?
4-1	280-281	\[	*[776]	SOFTWARE[776]
4-2	281-286	arXiv	*[776]	SOFTWARE[776]
4-3	286-287	\]	*[776]	SOFTWARE[776]
4-4	287-288	(	*[776]	SOFTWARE[776]
4-5	288-293	https	*[776]	SOFTWARE[776]
4-6	293-294	:	*[776]	SOFTWARE[776]
4-7	294-295	/	*[776]	SOFTWARE[776]
4-8	295-296	/	*[776]	SOFTWARE[776]
4-9	296-310	img.shields.io	*[776]	SOFTWARE[776]
4-10	310-311	/	*[776]	SOFTWARE[776]
4-11	311-316	badge	*[776]	SOFTWARE[776]
4-12	316-317	/	*[776]	SOFTWARE[776]
4-13	317-322	arXiv	*[776]	SOFTWARE[776]
4-14	322-323	-	*[776]	SOFTWARE[776]
4-15	323-333	2108.11792	*[776]	SOFTWARE[776]
4-16	333-334	-	*[776]	SOFTWARE[776]
4-17	334-344	b31b1b.svg	*[776]	SOFTWARE[776]
4-18	344-345	?	*[776]	SOFTWARE[776]

#Text=style=plastic)\](https://arxiv.org/abs/2108.11792) \[!
5-1	345-350	style	*[776]	SOFTWARE[776]
5-2	350-351	=	*[776]	SOFTWARE[776]
5-3	351-358	plastic	*[776]	SOFTWARE[776]
5-4	358-359	)	*[776]	SOFTWARE[776]
5-5	359-360	\]	*[776]	SOFTWARE[776]
5-6	360-361	(	*[776]	SOFTWARE[776]
5-7	361-366	https	*[776]	SOFTWARE[776]
5-8	366-367	:	*[776]	SOFTWARE[776]
5-9	367-368	/	*[776]	SOFTWARE[776]
5-10	368-369	/	*[776]	SOFTWARE[776]
5-11	369-378	arxiv.org	*[776]	SOFTWARE[776]
5-12	378-379	/	*[776]	SOFTWARE[776]
5-13	379-382	abs	*[776]	SOFTWARE[776]
5-14	382-383	/	*[776]	SOFTWARE[776]
5-15	383-393	2108.11792	*[776]	SOFTWARE[776]
5-16	393-394	)	*[776]	SOFTWARE[776]
5-17	395-396	\[	*[776]	SOFTWARE[776]
5-18	396-397	!	*[776]	SOFTWARE[776]

#Text=\[Loader: Hugging Face Datasets\](https://img.shields.io/static/v1.svg?
6-1	397-398	\[	*[776]	SOFTWARE[776]
6-2	398-404	Loader	*[776]	SOFTWARE[776]
6-3	404-405	:	*[776]	SOFTWARE[776]
6-4	406-413	Hugging	*[776]	SOFTWARE[776]
6-5	414-418	Face	*[776]	SOFTWARE[776]
6-6	419-427	Datasets	*[776]	SOFTWARE[776]
6-7	427-428	\]	*[776]	SOFTWARE[776]
6-8	428-429	(	*[776]	SOFTWARE[776]
6-9	429-434	https	*[776]	SOFTWARE[776]
6-10	434-435	:	*[776]	SOFTWARE[776]
6-11	435-436	/	*[776]	SOFTWARE[776]
6-12	436-437	/	*[776]	SOFTWARE[776]
6-13	437-451	img.shields.io	*[776]	SOFTWARE[776]
6-14	451-452	/	*[776]	SOFTWARE[776]
6-15	452-458	static	*[776]	SOFTWARE[776]
6-16	458-459	/	*[776]	SOFTWARE[776]
6-17	459-461	v1	*[776]	SOFTWARE[776]
6-18	461-462	.	*[776]	SOFTWARE[776]
6-19	462-465	svg	*[776]	SOFTWARE[776]
6-20	465-466	?	*[776]	SOFTWARE[776]

#Text=label=🤗 %20Datasets&message=BSARD&color=FF9900)\](https://huggingface.co/datasets/maastrichtlawtech/bsard)  # A Statutory Article Retrieval Dataset in French  This repository contains the code for reproducing the experimental results presented in the ACL 2022 paper \["A Statutory Article Retrieval Dataset in French"\](https://aclanthology.org/2022.acl-long.468/) by \[Antoine Louis\](https:/antoinelouis.co/work/) and \[Jerry Spanakis\](https://dke.maastrichtuniversity.nl/jerry.spanakis/).
7-1	466-471	label	*[776]	SOFTWARE[776]
7-2	471-472	=	*[776]	SOFTWARE[776]
7-3	472-474	🤗	*[776]	SOFTWARE[776]
7-4	474-475	%	*[776]	SOFTWARE[776]
7-5	475-485	20Datasets	*[776]	SOFTWARE[776]
7-6	485-486	&	*[776]	SOFTWARE[776]
7-7	486-493	message	*[776]	SOFTWARE[776]
7-8	493-494	=	*[776]	SOFTWARE[776]
7-9	494-499	BSARD	*[776]	SOFTWARE[776]
7-10	499-500	&	*[776]	SOFTWARE[776]
7-11	500-505	color	*[776]	SOFTWARE[776]
7-12	505-506	=	*[776]	SOFTWARE[776]
7-13	506-512	FF9900	*[776]	SOFTWARE[776]
7-14	512-513	)	*[776]	SOFTWARE[776]
7-15	513-514	\]	*[776]	SOFTWARE[776]
7-16	514-515	(	*[776]	SOFTWARE[776]
7-17	515-520	https	*[776]	SOFTWARE[776]
7-18	520-521	:	*[776]	SOFTWARE[776]
7-19	521-522	/	*[776]	SOFTWARE[776]
7-20	522-523	/	*[776]	SOFTWARE[776]
7-21	523-537	huggingface.co	*[776]	SOFTWARE[776]
7-22	537-538	/	*[776]	SOFTWARE[776]
7-23	538-546	datasets	*[776]	SOFTWARE[776]
7-24	546-547	/	*[776]	SOFTWARE[776]
7-25	547-564	maastrichtlawtech	*[776]	SOFTWARE[776]
7-26	564-565	/	*[776]	SOFTWARE[776]
7-27	565-570	bsard	*[776]	SOFTWARE[776]
7-28	570-571	)	*[776]	SOFTWARE[776]
7-29	573-574	#	*[776]	SOFTWARE[776]
7-30	575-576	A	*[776]	SOFTWARE[776]
7-31	577-586	Statutory	*[776]	SOFTWARE[776]
7-32	587-594	Article	*[776]	SOFTWARE[776]
7-33	595-604	Retrieval	*[776]	SOFTWARE[776]
7-34	605-612	Dataset	*[776]	SOFTWARE[776]
7-35	613-615	in	*[776]	SOFTWARE[776]
7-36	616-622	French	*[776]	SOFTWARE[776]
7-37	624-628	This	*[776]	SOFTWARE[776]
7-38	629-639	repository	*[776]	SOFTWARE[776]
7-39	640-648	contains	*[776]	SOFTWARE[776]
7-40	649-652	the	*[776]	SOFTWARE[776]
7-41	653-657	code	*[776]	SOFTWARE[776]
7-42	658-661	for	*[776]	SOFTWARE[776]
7-43	662-673	reproducing	*[776]	SOFTWARE[776]
7-44	674-677	the	*[776]	SOFTWARE[776]
7-45	678-690	experimental	*[776]	SOFTWARE[776]
7-46	691-698	results	*[776]	SOFTWARE[776]
7-47	699-708	presented	*[776]	SOFTWARE[776]
7-48	709-711	in	*[776]	SOFTWARE[776]
7-49	712-715	the	*[776]	SOFTWARE[776]
7-50	716-719	ACL	*[776]	SOFTWARE[776]
7-51	720-724	2022	*[776]	SOFTWARE[776]
7-52	725-730	paper	*[776]	SOFTWARE[776]
7-53	731-732	\[	*[776]	SOFTWARE[776]
7-54	732-733	"	*[776]	SOFTWARE[776]
7-55	733-734	A	*[776]	SOFTWARE[776]
7-56	735-744	Statutory	*[776]	SOFTWARE[776]
7-57	745-752	Article	*[776]	SOFTWARE[776]
7-58	753-762	Retrieval	*[776]	SOFTWARE[776]
7-59	763-770	Dataset	*[776]	SOFTWARE[776]
7-60	771-773	in	*[776]	SOFTWARE[776]
7-61	774-780	French	*[776]	SOFTWARE[776]
7-62	780-781	"	*[776]	SOFTWARE[776]
7-63	781-782	\]	*[776]	SOFTWARE[776]
7-64	782-783	(	*[776]	SOFTWARE[776]
7-65	783-788	https	*[776]	SOFTWARE[776]
7-66	788-789	:	*[776]	SOFTWARE[776]
7-67	789-790	/	*[776]	SOFTWARE[776]
7-68	790-791	/	*[776]	SOFTWARE[776]
7-69	791-807	aclanthology.org	*[776]	SOFTWARE[776]
7-70	807-808	/	*[776]	SOFTWARE[776]
7-71	808-812	2022	*[776]	SOFTWARE[776]
7-72	812-813	.	*[776]	SOFTWARE[776]
7-73	813-821	acl-long	*[776]	SOFTWARE[776]
7-74	821-825	.468	*[776]	SOFTWARE[776]
7-75	825-826	/	*[776]	SOFTWARE[776]
7-76	826-827	)	*[776]	SOFTWARE[776]
