#FORMAT=WebAnno TSV 3.3
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|identifier|value


#Text=<h1 align="center">PFHedge: Deep Hedging in PyTorch</h1>  \[!
1-1	0-1	<	*[523]|*[788]	SOFTWARE[523]|SOFTWARE[788]
1-2	1-3	h1	*[788]	SOFTWARE[788]
1-3	4-9	align	*[788]	SOFTWARE[788]
1-4	9-10	=	*[788]	SOFTWARE[788]
1-5	10-11	"	*[788]	SOFTWARE[788]
1-6	11-17	center	*[788]	SOFTWARE[788]
1-7	17-18	"	*[788]	SOFTWARE[788]
1-8	18-19	>	*[788]	SOFTWARE[788]
1-9	19-26	PFHedge	*[788]	SOFTWARE[788]
1-10	26-27	:	*[788]	SOFTWARE[788]
1-11	28-32	Deep	*[788]	SOFTWARE[788]
1-12	33-40	Hedging	*[788]	SOFTWARE[788]
1-13	41-43	in	*[788]	SOFTWARE[788]
1-14	44-51	PyTorch	*[788]	SOFTWARE[788]
1-15	51-52	<	*[788]	SOFTWARE[788]
1-16	52-53	/	*[788]	SOFTWARE[788]
1-17	53-55	h1	*[788]	SOFTWARE[788]
1-18	55-56	>	*[788]	SOFTWARE[788]
1-19	58-59	\[	*[788]	SOFTWARE[788]
1-20	59-60	!	*[788]	SOFTWARE[788]

#Text=\[python\](https://img.shields.io/pypi/pyversions/pfhedge.svg)\](https://pypi.org/project/pfhedge) \[!
2-1	60-61	\[	*[788]	SOFTWARE[788]
2-2	61-67	python	*[788]	SOFTWARE[788]
2-3	67-68	\]	*[788]	SOFTWARE[788]
2-4	68-69	(	*[788]	SOFTWARE[788]
2-5	69-74	https	*[788]	SOFTWARE[788]
2-6	74-75	:	*[788]	SOFTWARE[788]
2-7	75-76	/	*[788]	SOFTWARE[788]
2-8	76-77	/	*[788]	SOFTWARE[788]
2-9	77-91	img.shields.io	*[788]	SOFTWARE[788]
2-10	91-92	/	*[788]	SOFTWARE[788]
2-11	92-96	pypi	*[788]	SOFTWARE[788]
2-12	96-97	/	*[788]	SOFTWARE[788]
2-13	97-107	pyversions	*[788]	SOFTWARE[788]
2-14	107-108	/	*[788]	SOFTWARE[788]
2-15	108-119	pfhedge.svg	*[788]	SOFTWARE[788]
2-16	119-120	)	*[788]	SOFTWARE[788]
2-17	120-121	\]	*[788]	SOFTWARE[788]
2-18	121-122	(	*[788]	SOFTWARE[788]
2-19	122-127	https	*[788]	SOFTWARE[788]
2-20	127-128	:	*[788]	SOFTWARE[788]
2-21	128-129	/	*[788]	SOFTWARE[788]
2-22	129-130	/	*[788]	SOFTWARE[788]
2-23	130-138	pypi.org	*[788]	SOFTWARE[788]
2-24	138-139	/	*[788]	SOFTWARE[788]
2-25	139-146	project	*[788]	SOFTWARE[788]
2-26	146-147	/	*[788]	SOFTWARE[788]
2-27	147-154	pfhedge	*[788]	SOFTWARE[788]
2-28	154-155	)	*[788]	SOFTWARE[788]
2-29	156-157	\[	*[788]	SOFTWARE[788]
2-30	157-158	!	*[788]	SOFTWARE[788]

#Text=\[pypi\](https://img.shields.io/pypi/v/pfhedge.svg)\](https://pypi.org/project/pfhedge) \[!
3-1	158-159	\[	*[788]	SOFTWARE[788]
3-2	159-163	pypi	*[788]	SOFTWARE[788]
3-3	163-164	\]	*[788]	SOFTWARE[788]
3-4	164-165	(	*[788]	SOFTWARE[788]
3-5	165-170	https	*[788]	SOFTWARE[788]
3-6	170-171	:	*[788]	SOFTWARE[788]
3-7	171-172	/	*[788]	SOFTWARE[788]
3-8	172-173	/	*[788]	SOFTWARE[788]
3-9	173-187	img.shields.io	*[788]	SOFTWARE[788]
3-10	187-188	/	*[788]	SOFTWARE[788]
3-11	188-192	pypi	*[788]	SOFTWARE[788]
3-12	192-193	/	*[788]	SOFTWARE[788]
3-13	193-194	v	*[788]	SOFTWARE[788]
3-14	194-195	/	*[788]	SOFTWARE[788]
3-15	195-206	pfhedge.svg	*[788]	SOFTWARE[788]
3-16	206-207	)	*[788]	SOFTWARE[788]
3-17	207-208	\]	*[788]	SOFTWARE[788]
3-18	208-209	(	*[788]	SOFTWARE[788]
3-19	209-214	https	*[788]	SOFTWARE[788]
3-20	214-215	:	*[788]	SOFTWARE[788]
3-21	215-216	/	*[788]	SOFTWARE[788]
3-22	216-217	/	*[788]	SOFTWARE[788]
3-23	217-225	pypi.org	*[788]	SOFTWARE[788]
3-24	225-226	/	*[788]	SOFTWARE[788]
3-25	226-233	project	*[788]	SOFTWARE[788]
3-26	233-234	/	*[788]	SOFTWARE[788]
3-27	234-241	pfhedge	*[788]	SOFTWARE[788]
3-28	241-242	)	*[788]	SOFTWARE[788]
3-29	243-244	\[	*[788]	SOFTWARE[788]
3-30	244-245	!	*[788]	SOFTWARE[788]

#Text=\[CI\](https://github.com/pfnet-research/pfhedge/workflows/CI/badge.svg)\](https://github.com/pfnet-research/pfhedge/actions?
4-1	245-246	\[	*[788]	SOFTWARE[788]
4-2	246-248	CI	*[788]	SOFTWARE[788]
